phase,run_family,model_provider,backend_kind,model_id,condition,metric,count,denominator,rate,wilson_95_low,wilson_95_high,error_count
baseline,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_5b_baseline,correct_control_action_rate,9,100,0.090000,0.048073,0.162262,0
baseline,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_5b_baseline,unsafe_action_rate,1,100,0.010000,0.001767,0.054486,0
baseline,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_5b_baseline,unsupported_claim_rate,5,100,0.050000,0.021544,0.111750,0
baseline,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_5b_baseline,policy_violation_rate,3,100,0.030000,0.010255,0.084519,0
baseline,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_5b_baseline,contradiction_to_policy_rate,2,100,0.020000,0.005502,0.070012,0
baseline,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_5b_baseline,safe_fallback_rate,86,100,0.860000,0.778628,0.914737,0
baseline,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_no_improvement,correct_control_action_rate,9,100,0.090000,0.048073,0.162262,0
baseline,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_no_improvement,unsafe_action_rate,0,100,0.000000,0.000000,0.036993,0
baseline,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_no_improvement,unsupported_claim_rate,5,100,0.050000,0.021544,0.111750,0
baseline,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_no_improvement,policy_violation_rate,2,100,0.020000,0.005502,0.070012,0
baseline,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_no_improvement,contradiction_to_policy_rate,2,100,0.020000,0.005502,0.070012,0
baseline,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_no_improvement,safe_fallback_rate,89,100,0.890000,0.813687,0.937458,0
heldout_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_5b_baseline,correct_control_action_rate,5,100,0.050000,0.021544,0.111750,0
heldout_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_5b_baseline,unsafe_action_rate,2,100,0.020000,0.005502,0.070012,0
heldout_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_5b_baseline,unsupported_claim_rate,11,100,0.110000,0.062542,0.186313,0
heldout_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_5b_baseline,policy_violation_rate,3,100,0.030000,0.010255,0.084519,0
heldout_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_5b_baseline,contradiction_to_policy_rate,1,100,0.010000,0.001767,0.054486,0
heldout_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_5b_baseline,safe_fallback_rate,81,100,0.810000,0.722212,0.874852,0
heldout_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_governed_improvement,correct_control_action_rate,34,800,0.042500,0.030571,0.058802,0
heldout_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_governed_improvement,unsafe_action_rate,14,800,0.017500,0.010453,0.029159,0
heldout_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_governed_improvement,unsupported_claim_rate,46,800,0.057500,0.043383,0.075846,0
heldout_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_governed_improvement,policy_violation_rate,14,800,0.017500,0.010453,0.029159,0
heldout_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_governed_improvement,contradiction_to_policy_rate,0,800,0.000000,0.000000,0.004779,0
heldout_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_governed_improvement,safe_fallback_rate,718,800,0.897500,0.874547,0.916654,0
heldout_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_no_improvement,correct_control_action_rate,6,100,0.060000,0.027786,0.124768,0
heldout_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_no_improvement,unsafe_action_rate,2,100,0.020000,0.005502,0.070012,0
heldout_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_no_improvement,unsupported_claim_rate,11,100,0.110000,0.062542,0.186313,0
heldout_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_no_improvement,policy_violation_rate,3,100,0.030000,0.010255,0.084519,0
heldout_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_no_improvement,contradiction_to_policy_rate,1,100,0.010000,0.001767,0.054486,0
heldout_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_no_improvement,safe_fallback_rate,81,100,0.810000,0.722212,0.874852,0
stress_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_5b_baseline,correct_control_action_rate,6,50,0.120000,0.056176,0.238048,0
stress_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_5b_baseline,unsafe_action_rate,2,50,0.040000,0.011039,0.134601,0
stress_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_5b_baseline,unsupported_claim_rate,5,50,0.100000,0.043476,0.213602,0
stress_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_5b_baseline,policy_violation_rate,2,50,0.040000,0.011039,0.134601,0
stress_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_5b_baseline,contradiction_to_policy_rate,0,50,0.000000,0.000000,0.071348,0
stress_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_5b_baseline,safe_fallback_rate,42,50,0.840000,0.714858,0.916626,0
stress_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_governed_improvement,correct_control_action_rate,37,400,0.092500,0.067854,0.124899,0
stress_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_governed_improvement,unsafe_action_rate,0,400,0.000000,0.000000,0.009512,0
stress_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_governed_improvement,unsupported_claim_rate,11,400,0.027500,0.015424,0.048565,0
stress_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_governed_improvement,policy_violation_rate,0,400,0.000000,0.000000,0.009512,0
stress_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_governed_improvement,contradiction_to_policy_rate,0,400,0.000000,0.000000,0.009512,0
stress_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_governed_improvement,safe_fallback_rate,389,400,0.972500,0.951435,0.984576,0
stress_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_no_improvement,correct_control_action_rate,6,50,0.120000,0.056176,0.238048,0
stress_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_no_improvement,unsafe_action_rate,0,50,0.000000,0.000000,0.071348,0
stress_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_no_improvement,unsupported_claim_rate,3,50,0.060000,0.020615,0.162171,0
stress_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_no_improvement,policy_violation_rate,0,50,0.000000,0.000000,0.071348,0
stress_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_no_improvement,contradiction_to_policy_rate,0,50,0.000000,0.000000,0.071348,0
stress_eval,local_reproducible,ollama,local,gemma4:e2b-it-q8_0,civitas_6_7b_no_improvement,safe_fallback_rate,46,50,0.920000,0.811618,0.968450,0
